timestamp,open,close,high,low
2025-10-13 12:00:00Z,1.84164,1.84149,1.84236,1.84122
2025-10-13 12:01:00Z,1.84149,1.84323,1.84354,1.84139
2025-10-13 12:02:00Z,1.84331,1.84315,1.84379,1.84273
2025-10-13 12:03:00Z,1.84315,1.8434,1.8439,1.84301
2025-10-13 12:04:00Z,1.8434,1.84292,1.84388,1.84264
2025-10-13 12:05:00Z,1.84292,1.84334,1.84334,1.84234
2025-10-13 12:06:00Z,1.84344,1.8418,1.84357,1.8418
2025-10-13 12:07:00Z,1.84175,1.84,1.8422,1.83958
2025-10-13 12:08:00Z,1.83988,1.83987,1.84078,1.83954
2025-10-13 12:09:00Z,1.83987,1.84074,1.84074,1.83917
2025-10-13 12:10:00Z,1.84074,1.84213,1.8424,1.84074
2025-10-13 12:11:00Z,1.84222,1.84161,1.8424,1.8414
2025-10-13 12:12:00Z,1.84165,1.83965,1.84188,1.83954
2025-10-13 12:13:00Z,1.83965,1.8409,1.84106,1.83935
2025-10-13 12:14:00Z,1.84082,1.83873,1.84093,1.83858
2025-10-13 12:15:00Z,1.83878,1.83919,1.83986,1.83865
2025-10-13 12:16:00Z,1.83919,1.84069,1.84069,1.83872
2025-10-13 12:17:00Z,1.84056,1.84001,1.84083,1.83983
2025-10-13 12:18:00Z,1.8401,1.8433,1.84347,1.83991
2025-10-13 12:19:00Z,1.84335,1.84358,1.84414,1.84277
2025-10-13 12:20:00Z,1.84353,1.84496,1.8458,1.84352
2025-10-13 12:21:00Z,1.84483,1.84709,1.8472,1.84478
2025-10-13 12:22:00Z,1.8468,1.84674,1.84718,1.84627
2025-10-13 12:23:00Z,1.84669,1.84757,1.84757,1.84597
2025-10-13 12:24:00Z,1.84742,1.8481,1.84837,1.84695
2025-10-13 12:25:00Z,1.8481,1.84906,1.84921,1.8479
2025-10-13 12:26:00Z,1.84906,1.84875,1.84949,1.84841
2025-10-13 12:27:00Z,1.84875,1.84822,1.84883,1.84774
2025-10-13 12:28:00Z,1.84827,1.84738,1.84889,1.84714
2025-10-13 12:29:00Z,1.84732,1.84635,1.8474,1.84625
2025-10-13 12:30:00Z,1.84635,1.84507,1.84682,1.84455
2025-10-13 12:31:00Z,1.84507,1.8432,1.84525,1.84304
2025-10-13 12:32:00Z,1.8432,1.84374,1.84393,1.84255
2025-10-13 12:33:00Z,1.84389,1.84357,1.84461,1.84357
2025-10-13 12:34:00Z,1.84357,1.843,1.84373,1.84239
2025-10-13 12:35:00Z,1.843,1.84309,1.84332,1.84254
2025-10-13 12:36:00Z,1.84309,1.84268,1.844,1.8421
2025-10-13 12:37:00Z,1.84264,1.84242,1.84285,1.84157
2025-10-13 12:38:00Z,1.84236,1.84227,1.84288,1.84158
2025-10-13 12:39:00Z,1.84234,1.84032,1.84234,1.8402
2025-10-13 12:40:00Z,1.84032,1.83994,1.84073,1.8392
2025-10-13 12:41:00Z,1.83977,1.83924,1.8403,1.83897
2025-10-13 12:42:00Z,1.83902,1.83751,1.83921,1.83724
2025-10-13 12:43:00Z,1.83747,1.83671,1.83747,1.83593
2025-10-13 12:44:00Z,1.83665,1.83794,1.83826,1.8366
2025-10-13 12:45:00Z,1.83783,1.83636,1.83789,1.83617
2025-10-13 12:46:00Z,1.83636,1.83588,1.83636,1.83514
2025-10-13 12:47:00Z,1.83593,1.83762,1.8383,1.83593
2025-10-13 12:48:00Z,1.8377,1.83765,1.83803,1.83663
2025-10-13 12:49:00Z,1.83807,1.83855,1.83875,1.83739
2025-10-13 12:50:00Z,1.83849,1.83964,1.83964,1.83785
2025-10-13 12:51:00Z,1.83964,1.84027,1.84028,1.83862
2025-10-13 12:52:00Z,1.84027,1.84064,1.84126,1.83979
2025-10-13 12:53:00Z,1.84073,1.84128,1.84172,1.8404
2025-10-13 12:54:00Z,1.84128,1.84229,1.84229,1.8408
2025-10-13 12:55:00Z,1.84245,1.84129,1.84301,1.84095
2025-10-13 12:56:00Z,1.84141,1.84267,1.84296,1.84141
2025-10-13 12:57:00Z,1.84267,1.84353,1.84367,1.84236
2025-10-13 12:58:00Z,1.84353,1.84304,1.84359,1.84239
2025-10-13 12:59:00Z,1.84304,1.84311,1.84374,1.84253
2025-10-13 13:00:00Z,1.84311,1.84252,1.84324,1.84203
2025-10-13 13:01:00Z,1.84245,1.84434,1.84485,1.84245
2025-10-13 13:02:00Z,1.84429,1.84186,1.84433,1.84172
2025-10-13 13:03:00Z,1.84186,1.84126,1.84233,1.8411
2025-10-13 13:04:00Z,1.84126,1.84,1.84169,1.83981
2025-10-13 13:05:00Z,1.83996,1.8405,1.84116,1.83988
2025-10-13 13:06:00Z,1.84054,1.84071,1.84113,1.84038
2025-10-13 13:07:00Z,1.8408,1.8411,1.84143,1.84049
2025-10-13 13:08:00Z,1.8411,1.84351,1.84351,1.8411
