timestamp,open,high,low,close,volume
2025-12-18 23:49:45Z,1.2839,1.28408,1.28329,1.28352,0.0
2025-12-18 23:50:00Z,1.28352,1.28391,1.28339,1.28339,0.0
2025-12-18 23:50:15Z,1.28339,1.28375,1.28319,1.28375,0.0
2025-12-18 23:50:30Z,1.28375,1.28417,1.28326,1.28379,0.0
2025-12-18 23:50:45Z,1.28379,1.28389,1.28339,1.28389,0.0
2025-12-18 23:51:00Z,1.28389,1.28389,1.28267,1.28283,0.0
2025-12-18 23:51:15Z,1.28283,1.28283,1.2818,1.28207,0.0
2025-12-18 23:51:30Z,1.28207,1.28323,1.28204,1.28318,0.0
2025-12-18 23:51:45Z,1.28318,1.28389,1.28293,1.28352,0.0
2025-12-18 23:52:00Z,1.28352,1.28387,1.2832,1.28387,0.0
2025-12-18 23:52:15Z,1.28387,1.28416,1.28319,1.2838,0.0
2025-12-18 23:52:30Z,1.2838,1.28459,1.28374,1.28424,0.0
2025-12-18 23:52:45Z,1.28424,1.28424,1.28365,1.28393,0.0
2025-12-18 23:53:00Z,1.28393,1.28468,1.28393,1.28468,0.0
2025-12-18 23:53:15Z,1.28468,1.28472,1.28412,1.28417,0.0
2025-12-18 23:53:30Z,1.28417,1.2844,1.28407,1.28407,0.0
2025-12-18 23:53:45Z,1.28422,1.28422,1.28335,1.28351,0.0
2025-12-18 23:54:00Z,1.28347,1.28387,1.28328,1.2837,0.0
2025-12-18 23:54:15Z,1.28377,1.28394,1.28338,1.28371,0.0
2025-12-18 23:54:30Z,1.28391,1.284,1.28245,1.28245,0.0
2025-12-18 23:54:45Z,1.2825,1.28292,1.28209,1.28228,0.0
2025-12-18 23:55:00Z,1.28243,1.28256,1.28204,1.28253,0.0
2025-12-18 23:55:15Z,1.2825,1.28299,1.2825,1.28258,0.0
2025-12-18 23:55:30Z,1.28252,1.2827,1.28216,1.28246,0.0
2025-12-18 23:55:45Z,1.28238,1.28239,1.28171,1.2818,0.0
2025-12-18 23:56:00Z,1.2818,1.28208,1.28158,1.28158,0.0
2025-12-18 23:56:15Z,1.28158,1.28199,1.2813,1.28139,0.0
2025-12-18 23:56:30Z,1.28139,1.28139,1.28082,1.28117,0.0
2025-12-18 23:56:45Z,1.28117,1.28307,1.28112,1.28292,0.0
2025-12-18 23:57:00Z,1.28292,1.28342,1.28257,1.28269,0.0
2025-12-18 23:57:15Z,1.28269,1.2827,1.28232,1.28268,0.0
2025-12-18 23:57:30Z,1.28268,1.28308,1.28237,1.28274,0.0
2025-12-18 23:57:45Z,1.28274,1.28294,1.28249,1.28283,0.0
2025-12-18 23:58:00Z,1.28283,1.28349,1.28267,1.28301,0.0
2025-12-18 23:58:15Z,1.28307,1.28341,1.28276,1.28276,0.0
2025-12-18 23:58:30Z,1.28282,1.28315,1.28277,1.2831,0.0
2025-12-18 23:58:45Z,1.28305,1.28322,1.28268,1.283,0.0
2025-12-18 23:59:00Z,1.28295,1.28295,1.28239,1.28276,0.0
2025-12-18 23:59:15Z,1.28268,1.28268,1.2817,1.28176,0.0
2025-12-18 23:59:30Z,1.2817,1.28234,1.28154,1.28234,0.0
2025-12-18 23:59:45Z,1.28238,1.28272,1.28223,1.28257,0.0
2025-12-19 00:00:00Z,1.28251,1.2832,1.28251,1.28306,0.0
2025-12-19 00:00:15Z,1.283,1.28342,1.28285,1.28336,0.0
2025-12-19 00:00:30Z,1.28322,1.28384,1.28322,1.28359,0.0
2025-12-19 00:00:45Z,1.28363,1.28387,1.28292,1.28292,0.0
2025-12-19 00:01:00Z,1.28288,1.28341,1.28275,1.283,0.0
2025-12-19 00:01:15Z,1.283,1.28362,1.28282,1.2836,0.0
2025-12-19 00:01:30Z,1.2836,1.28395,1.28354,1.28371,0.0
2025-12-19 00:01:45Z,1.28371,1.28411,1.28312,1.28317,0.0
2025-12-19 00:02:00Z,1.28317,1.28351,1.28266,1.28278,0.0
2025-12-19 00:02:15Z,1.28278,1.28321,1.28248,1.28248,0.0
2025-12-19 00:02:30Z,1.28248,1.28248,1.28163,1.28197,0.0
2025-12-19 00:02:45Z,1.28197,1.2821,1.28167,1.28193,0.0
2025-12-19 00:03:00Z,1.28193,1.2821,1.28166,1.28174,0.0
2025-12-19 00:03:15Z,1.28174,1.28186,1.28073,1.28092,0.0
2025-12-19 00:03:30Z,1.28099,1.28099,1.2803,1.28087,0.0
2025-12-19 00:03:45Z,1.28087,1.28116,1.28076,1.28076,0.0
2025-12-19 00:04:00Z,1.28076,1.28115,1.28057,1.28068,0.0
2025-12-19 00:04:15Z,1.28076,1.28181,1.28076,1.28166,0.0
2025-12-19 00:04:30Z,1.28171,1.28251,1.28171,1.28233,0.0
2025-12-19 00:04:45Z,1.28221,1.2825,1.28214,1.28214,0.0
2025-12-19 00:05:00Z,1.28239,1.28303,1.28191,1.28303,0.0
2025-12-19 00:05:15Z,1.28298,1.28298,1.28239,1.28247,0.0
2025-12-19 00:05:30Z,1.2824,1.28257,1.28213,1.2824,0.0
2025-12-19 00:05:45Z,1.28246,1.28263,1.28196,1.28196,0.0
2025-12-19 00:06:00Z,1.28202,1.28272,1.2817,1.2817,0.0
2025-12-19 00:06:15Z,1.28157,1.28185,1.28157,1.28185,0.0
2025-12-19 00:06:30Z,1.28193,1.28227,1.28189,1.28209,0.0
2025-12-19 00:06:45Z,1.28214,1.28214,1.28132,1.28166,0.0
2025-12-19 00:07:00Z,1.28179,1.28245,1.2817,1.28202,0.0
2025-12-19 00:07:15Z,1.28172,1.28193,1.28172,1.28183,0.0
2025-12-19 00:07:30Z,1.2818,1.28261,1.2817,1.28245,0.0
2025-12-19 00:07:45Z,1.2825,1.28255,1.28205,1.28232,0.0
2025-12-19 00:08:00Z,1.28217,1.28245,1.2818,1.28225,0.0
2025-12-19 00:08:15Z,1.28225,1.28225,1.28108,1.28113,0.0
2025-12-19 00:08:30Z,1.28113,1.28113,1.28045,1.28093,0.0
2025-12-19 00:08:45Z,1.28093,1.28093,1.28019,1.28019,0.0
2025-12-19 00:14:00Z,1.28085,1.28098,1.2807,1.28084,20.0
